"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","900",58,0.26679938525175,0.0433333333333333,0.191111111111111,0.175555555555556,0.155555555555556,0.488564417008608,1,1,1,1,1,1
"no-exposure-control","0.25","900",59,0.262010806530813,0.0433333333333333,0.188888888888889,0.171111111111111,0.155555555555556,0.495580814032201,1,1,1,1,1,1
"no-exposure-control","0.25","900",60,0.265427066245458,0.0433333333333333,0.192222222222222,0.174444444444444,0.154444444444444,0.494920471950035,1,1,1,1,1,1
"no-exposure-control","0.25","900",61,0.263487468663191,0.0433333333333333,0.191111111111111,0.173333333333333,0.155555555555556,0.487781319529373,1,1,1,1,1,1
"no-exposure-control","0.25","900",62,0.261901743119549,0.0433333333333333,0.19,0.171111111111111,0.154444444444444,0.486318815653322,1,1,1,1,1,1
"no-exposure-control","0.25","900",63,0.262797005198377,0.0433333333333333,0.19,0.174444444444444,0.155555555555556,0.487544260360778,1,1,1,1,1,1
"no-exposure-control","0.25","900",64,0.262995335681108,0.0433333333333333,0.19,0.172222222222222,0.154444444444444,0.487374147076046,1,1,1,1,1,1
"no-exposure-control","0.25","900",65,0.264369664789036,0.0433333333333333,0.191111111111111,0.173333333333333,0.154444444444444,0.495243805523823,1,1,1,1,1,1
"no-exposure-control","0.25","900",66,0.264626892393352,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.495435224075787,1,1,1,1,1,1
"no-exposure-control","0.25","900",67,0.262410699258921,0.0433333333333333,0.191111111111111,0.171111111111111,0.155555555555556,0.487685824084248,1,1,1,1,1,1
"no-exposure-control","0.25","900",68,0.263464720685532,0.0444444444444444,0.19,0.171111111111111,0.153333333333333,0.486429038850181,1,1,1,1,1,1
"no-exposure-control","0.25","900",69,0.263915492895034,0.0444444444444444,0.191111111111111,0.171111111111111,0.153333333333333,0.487171471902082,1,1,1,1,1,1
"no-exposure-control","0.25","900",70,0.264996834955947,0.0444444444444444,0.19,0.173333333333333,0.155555555555556,0.486821388667054,1,1,1,1,1,1
"no-exposure-control","0.25","900",71,0.264556490801544,0.0444444444444444,0.191111111111111,0.172222222222222,0.155555555555556,0.495459709411043,1,1,1,1,1,1
"no-exposure-control","0.25","900",72,0.263310531337124,0.0433333333333333,0.191111111111111,0.174444444444444,0.154444444444444,0.495713330706047,1,1,1,1,1,1
"no-exposure-control","0.25","900",73,0.261369642573141,0.0433333333333333,0.19,0.173333333333333,0.156666666666667,0.495445576565917,1,1,1,1,1,1
"no-exposure-control","0.25","900",74,0.265638059180015,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.487668962311325,1,1,1,1,1,1
"no-exposure-control","0.25","900",75,0.264588208568163,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.495697514143166,1,1,1,1,1,1
"no-exposure-control","0.25","900",76,0.2618073591295,0.0433333333333333,0.19,0.172222222222222,0.154444444444444,0.495352627040935,1,1,1,1,1,1
"no-exposure-control","0.25","900",77,0.262566985338371,0.0433333333333333,0.19,0.171111111111111,0.155555555555556,0.486370252280524,1,1,1,1,1,1
"no-exposure-control","0.25","900",78,0.265683577089403,0.0433333333333333,0.191111111111111,0.172222222222222,0.154444444444444,0.487585891913895,1,1,1,1,1,1
"no-exposure-control","0.25","900",79,0.267448575892632,0.0433333333333333,0.19,0.173333333333333,0.156666666666667,0.487015598073489,1,1,1,1,1,1
"no-exposure-control","0.25","900",80,0.262643167471348,0.0444444444444444,0.187777777777778,0.171111111111111,0.154444444444444,0.48703294766002,1,1,1,1,1,1
"no-exposure-control","0.25","900",81,0.263294292314962,0.0444444444444444,0.191111111111111,0.17,0.153333333333333,0.486793777679363,1,1,1,1,1,1
"no-exposure-control","0.25","900",82,0.263259308467339,0.0433333333333333,0.191111111111111,0.173333333333333,0.154444444444444,0.486604405270096,1,1,1,1,1,1
"no-exposure-control","0.25","900",83,0.260703719250534,0.0433333333333333,0.191111111111111,0.172222222222222,0.153333333333333,0.486844517679799,1,1,1,1,1,1
"no-exposure-control","0.25","900",84,0.265116382989208,0.0433333333333333,0.191111111111111,0.172222222222222,0.156666666666667,0.487417841691448,1,1,1,1,1,1
"no-exposure-control","0.25","900",85,0.268029815194639,0.0444444444444444,0.191111111111111,0.176666666666667,0.156666666666667,0.488181351984317,1,1,1,1,1,1
"no-exposure-control","0.25","900",86,0.266388706285531,0.0433333333333333,0.188888888888889,0.173333333333333,0.156666666666667,0.494608994662682,1,1,1,1,1,1
"no-exposure-control","0.25","900",87,0.264463469131944,0.0444444444444444,0.19,0.171111111111111,0.155555555555556,0.495016577943664,1,1,1,1,1,1
"no-exposure-control","0.25","900",88,0.26483719585332,0.0433333333333333,0.191111111111111,0.171111111111111,0.155555555555556,0.495850787686954,1,1,1,1,1,1
"no-exposure-control","0.25","900",89,0.267265865822144,0.0433333333333333,0.191111111111111,0.174444444444444,0.155555555555556,0.487748476153638,1,1,1,1,1,1
"no-exposure-control","0.25","900",90,0.265544018629709,0.0433333333333333,0.188888888888889,0.172222222222222,0.153333333333333,0.487381092388558,1,1,1,1,1,1
"no-exposure-control","0.25","900",91,0.264899116606879,0.0433333333333333,0.19,0.173333333333333,0.155555555555556,0.495739526804262,1,1,1,1,1,1
"no-exposure-control","0.25","900",92,0.266218685077212,0.0433333333333333,0.19,0.172222222222222,0.156666666666667,0.486867818368788,1,1,1,1,1,1
"no-exposure-control","0.25","900",93,0.259789650551675,0.0433333333333333,0.19,0.171111111111111,0.155555555555556,0.495356374977485,1,1,1,1,1,1
"no-exposure-control","0.25","900",94,0.263604055060904,0.0433333333333333,0.191111111111111,0.171111111111111,0.156666666666667,0.486523088902061,1,1,1,1,1,1
"no-exposure-control","0.25","900",95,0.263395398377116,0.0433333333333333,0.191111111111111,0.173333333333333,0.155555555555556,0.495923359685903,1,1,1,1,1,1
"no-exposure-control","0.25","900",96,0.264259227127559,0.0433333333333333,0.188888888888889,0.173333333333333,0.154444444444444,0.494523732266902,1,1,1,1,1,1
"no-exposure-control","0.25","900",97,0.263201656292544,0.0433333333333333,0.19,0.173333333333333,0.156666666666667,0.48746572541859,1,1,1,1,1,1
"no-exposure-control","0.25","900",98,0.264567087790004,0.0433333333333333,0.19,0.173333333333333,0.155555555555556,0.495845473880379,1,1,1,1,1,1
"no-exposure-control","0.25","900",99,0.265334032216064,0.0444444444444444,0.193333333333333,0.175555555555556,0.156666666666667,0.495384843804636,1,1,1,1,1,1
"no-exposure-control","0.25","900",100,0.263637649391875,0.0433333333333333,0.19,0.173333333333333,0.154444444444444,0.487908193521524,1,1,1,1,1,1
"no-exposure-control","0.25","600",1,0.275906306045556,0.0733333333333333,0.273333333333333,0.246666666666667,0.225,0.484535791862771,1,1,1,1,1,1
"no-exposure-control","0.25","600",2,0.27032913489164,0.075,0.273333333333333,0.246666666666667,0.226666666666667,0.484036796767307,1,1,1,1,1,1
"no-exposure-control","0.25","600",3,0.275801029282145,0.0733333333333333,0.273333333333333,0.246666666666667,0.223333333333333,0.4913757986041,1,1,1,1,1,1
"no-exposure-control","0.25","600",4,0.273868515152254,0.0733333333333333,0.271666666666667,0.246666666666667,0.226666666666667,0.48410946954847,1,1,1,1,1,1
"no-exposure-control","0.25","600",5,0.273409572682008,0.0733333333333333,0.275,0.246666666666667,0.226666666666667,0.484314199148121,1,1,1,1,1,1
"no-exposure-control","0.25","600",6,0.274964270005289,0.075,0.273333333333333,0.246666666666667,0.223333333333333,0.491554021569195,1,1,1,1,1,1
"no-exposure-control","0.25","600",7,0.279838958103472,0.075,0.273333333333333,0.248333333333333,0.226666666666667,0.48489025475115,1,1,1,1,1,1
"no-exposure-control","0.25","600",8,0.2755245123884,0.0733333333333333,0.273333333333333,0.248333333333333,0.226666666666667,0.484209408974256,1,1,1,1,1,1
"no-exposure-control","0.25","600",9,0.277992076720894,0.075,0.273333333333333,0.245,0.226666666666667,0.483618819725384,1,1,1,1,1,1
"no-exposure-control","0.25","600",10,0.27361511740908,0.0716666666666667,0.273333333333333,0.248333333333333,0.225,0.484979740270107,1,1,1,1,1,1
"no-exposure-control","0.25","600",11,0.272717923738352,0.0733333333333333,0.273333333333333,0.246666666666667,0.225,0.492715167728589,1,1,1,1,1,1
"no-exposure-control","0.25","600",12,0.275726499652483,0.0716666666666667,0.271666666666667,0.245,0.223333333333333,0.492176926099289,1,1,1,1,1,1
"no-exposure-control","0.25","600",13,0.279235576742958,0.075,0.273333333333333,0.246666666666667,0.223333333333333,0.484173572379876,1,1,1,1,1,1
"no-exposure-control","0.25","600",14,0.273067801199544,0.0716666666666667,0.275,0.248333333333333,0.225,0.484166134087706,1,1,1,1,1,1
"no-exposure-control","0.25","600",15,0.276780918212361,0.075,0.271666666666667,0.248333333333333,0.223333333333333,0.491546774219083,1,1,1,1,1,1
"no-exposure-control","0.25","600",16,0.278289800447756,0.0733333333333333,0.273333333333333,0.248333333333333,0.225,0.493145721484838,1,1,1,1,1,1
"no-exposure-control","0.25","600",17,0.275314560505333,0.0733333333333333,0.271666666666667,0.245,0.225,0.484338885000931,1,1,1,1,1,1
